"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"46050","SN 2019rrs","09:37:08.612","+09:27:55.55","SN II","0.022","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS, Pan-STARRS, ZTF","ZTF19acbihxh","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","P200 - DBSP","1","1","","19.36","g-ZTF","2019-10-02 12:05:17.000","ZTF_AMPEL_NEW","","","2019TNSTR1974....1N","2019TNSCR2039....1D","",""
"46049","SN 2019rrr","10:22:35.200","+43:50:56.04","SN II","0.018","","","ZTF, GaiaAlerts, ATLAS, Pan-STARRS","ZTF, GaiaAlerts, ATLAS, Pan-STARRS","ZTF","ATLAS, GaiaAlerts, Pan-STARRS, ZTF","ZTF19acaqqxo","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.71","g-ZTF","2019-10-02 12:07:54.000","ZTF_AMPEL_NEW","","","2019TNSTR1974....1N","2019TNSCR1979....1D","",""
"46040","SN 2019rri","17:39:01.264","+24:46:19.37","SN II","0.0511","2MASS J17390100+2446180","","ALeRCE, ATLAS, ZTF","ZTF, ATLAS","ZTF","ALeRCE, ATLAS, ZTF","ZTF19acbwilc","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P200 - DBSP","1","1","","18.6654","g-ZTF","2019-10-02 03:05:02.000","ALeRCE","","","2019TNSTR1962....1F","2019TNSCR2184....1D","",""
"46015","SN 2019rqk","09:18:06.189","+13:28:16.07","SN II","0.029","","","ZTF, Pan-STARRS","ZTF, Pan-STARRS","ZTF","Pan-STARRS, ZTF","ZTF19abzzuyl","P48 - ZTF-Cam, PS1 - GPC1","P200 - DBSP","1","1","","19.4","g-ZTF","2019-09-23 12:07:12.000","ZTF_Bot1","","","2019TNSTR1973....1F","2019TNSCR2050....1D","",""
"45992","SN 2019rpn","21:19:41.199","+37:31:19.46","SN II","0.026","","","ZTF","ZTF","ZTF","ZTF","ZTF19acbpqlh","P48 - ZTF-Cam","P200 - DBSP","1","1","","20.36","g-ZTF","2019-10-01 04:01:04.000","Robert Stein","","","2019TNSTR1959....1S","2025TNSCR.101....1T","",""
"45965","SN 2019rom","23:57:04.959","-07:21:36.92","SN II","0.03","SDSS J235704.95-072137.4","0.273","ALeRCE, ATLAS, ZTF, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ALeRCE, ATLAS, Pan-STARRS, ZTF","ZTF19acbrzzr","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.0331","r-ZTF","2019-10-01 07:03:45.000","ALeRCE","","","2019TNSTR1953....1F","2019TNSCR2063....1D","",""
"45942","SN 2019rnp","08:10:01.645","+29:01:52.08","SN II","0.048","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS, Pan-STARRS, ZTF","ZTF19acbmxky","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","P200 - DBSP","1","1","","18.33","g-ZTF","2019-09-30 11:16:42.000","ZTF_AMPEL_NEW","","","2019TNSTR1958....1N","2019TNSCR2230....1D","",""
"45919","SN 2019rms","09:00:45.376","+19:44:42.44","SN II","0.0369","","","Pan-STARRS, ZTF, ATLAS","Pan-STARRS, ZTF, ATLAS","ZTF","ATLAS, Pan-STARRS, ZTF","PS19fsa","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.02","w-P1","2019-09-29 14:28:19.000","PS1_Bot1","","","2019TNSTR1951....1C","2019TNSCR2078....1D","",""
"45726","SN 2019rfi","06:10:00.930","-22:40:05.20","SN II","0.038","LEDA 810636","","ZTF, GaiaAlerts","ZTF, GaiaAlerts","ZTF","GaiaAlerts, ZTF","","Gaia - Gaia-photometric, GOTO-N - GOTO-1, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.3","L-GOTO","2019-09-21 05:53:54.000","Yik Lun Mong","","","2019TNSTR1930....1M","2019TNSCR1985....1D","",""
"45348","SN 2019qqw","02:21:57.671","+28:28:11.63","SN II","0.037","","","ZTF, Pan-STARRS","ZTF, Pan-STARRS","ZTF","Pan-STARRS, ZTF","ZTF19abzqwpr","P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.85","g-ZTF","2019-09-20 09:22:52.000","ZTF_AMPEL_NEW","","","2019TNSTR1895....1N","2019TNSCR1991....1D","",""
"45134","SN 2019qiq","23:44:56.094","-04:16:33.14","SN II","0.0294","","","Pan-STARRS, ZTF","Pan-STARRS, ZTF","ZTF","Pan-STARRS, ZTF","PS19fco","P48 - ZTF-Cam, PS1 - GPC1","Keck1 - LRIS","1","1","","20.45","i-Sloan","2019-09-18 09:57:36.000","PS1_Bot1","","","2019TNSTR1859....1C","2025TNSCR.101....1T","",""
"45127","SN 2019qij","08:21:37.457","+40:51:48.54","SN II","0.1066","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS, ZTF","ZTF19abzrdup","ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P200 - DBSP","1","1","","19.4","r-ZTF","2019-09-19 11:41:13.000","ZTF_AMPEL_NEW","","","2019TNSTR1863....1N","2020TNSCR1935....1D","",""
"45064","SN 2019qfz","08:35:25.400","+23:31:39.61","SN II","0.022","","","ATLAS, ZTF, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","ZTF","ATLAS, Pan-STARRS, ZTF","ATLAS19vdd","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","18.332","orange-ATLAS","2019-09-17 14:36:57.000","ATLAS_Bot1","","","2019TNSTR1841....1T","2019TNSCR1856....1S, 2019TNSCR2862....1F","",""
"44967","SN 2019qch","18:29:13.810","+41:02:32.35","SN II","0.024","GALEXASC J182913.97+410227.7","","ALeRCE, ATLAS, ZTF, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF","ALeRCE, ATLAS, GaiaAlerts, Pan-STARRS, ZTF","ZTF19abyuzch","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.8719","r-ZTF","2019-09-14 06:26:41.000","ALeRCE","","","2019TNSTR1823....1F","2019TNSCR1923....1F","",""
"44933","SN 2019qba","15:37:44.700","+22:25:36.48","SN II","0.02482","","","GaiaAlerts, ZTF, ATLAS","GaiaAlerts, ZTF, ATLAS","ZTF","ATLAS, GaiaAlerts, ZTF","Gaia19ebl","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.96","G-Gaia","2019-09-11 15:50:24.000","Gaia_Bot1","","","2019TNSTR1818....1H","2019TNSCR2050....1D","",""
"44899","SN 2019pzt","15:35:27.150","+72:39:19.22","SN II","0.05","","","ZTF, GaiaAlerts","ZTF, GaiaAlerts","ZTF","GaiaAlerts, ZTF","ZTF19abwamby","Gaia - Gaia-photometric, P48 - ZTF-Cam","P200 - DBSP","1","1","","18.54","r-ZTF","2019-09-12 03:35:42.000","ZTF_AMPEL_NEW","","","2019TNSTR1815....1N","2019TNSCR1923....1F","",""
"44628","SN 2019ppi","08:55:35.401","+49:09:37.10","SN II","0.052","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS, Pan-STARRS, ZTF","ZTF19abxvtmn","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","19.14","g-ZTF","2019-09-07 11:49:45.000","ZTF_AMPEL_NEW","","","2019TNSTR1763....1N","2019TNSCR2050....1D","",""
"44579","SN 2019pnl","04:18:50.680","-08:56:15.43","SN II","0.038","APMUKS(BJ) B041626.21-090329.4","","ALeRCE, ATLAS, ZTF, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF","ALeRCE, ATLAS, GaiaAlerts, Pan-STARRS, ZTF","ZTF19abwsagv","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.9751","r-ZTF","2019-09-06 12:01:50.000","ALeRCE","","","2019TNSTR1750....1F","2019TNSCR1808....1F","",""
"44578","SN 2019pnk","03:15:25.900","-19:21:34.63","SN II","0.068077","2MASX J03152576-1921344","0.068077","ALeRCE, ZTF, GaiaAlerts","ZTF, GaiaAlerts","ZTF","ALeRCE, GaiaAlerts, ZTF","ZTF19abxnycf","Gaia - Gaia-photometric, P48 - ZTF-Cam","","1","1","","19.2129","r-ZTF","2019-09-06 11:31:13.000","ALeRCE","","","2019TNSTR1750....1F","2020TNSCR1667....1D","",""
