"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"6095","SN 2012ho","22:40:17.021","-02:25:34.10","SN IIP","","MCG -01-57-21   ","","","","","","","","","0","1","","15.6","","2012-12-06 00:00:00.000","","[Discoverer=Itagaki; DiscoveryRef=CBET 3338; PositionRef=CBET 3338; Orig Type=IIP]","","","","",""
"6071","SN 2012gr","03:38:55.639","+16:49:43.50","SN IIP","","Anon.           ","","","","","","","","","0","1","","18","","2012-11-12 00:00:00.000","","[Discoverer=Balanutsa (MASTER); DiscoveryRef=CBET 3308; PositionRef=CBET 3308; Orig Type=IIP]","","","","",""
"6064","SN 2012gk","05:22:41.501","-39:03:44.32","SN IIP","","ESO 305-21      ","","","","","","","","","0","1","","18","","2012-11-13 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 3301; PositionRef=CBET 3301; Orig Type=IIP]","","","","",""
"6051","SN 2012fy","19:37:15.720","-42:18:27.11","SN IIP","","Anon.           ","","","","","","","","","0","1","","17.2","","2012-08-12 00:00:00.000","","[Discoverer=Carrasco, Pignata et al. (CHASE); DiscoveryRef=CBET 3284; PositionRef=CBET 3284; Orig Type=IIP]","","","","",""
"6045","SN 2012fs","00:37:39.379","+10:21:29.02","SN IIP","","IC 35           ","","","","","","","","","0","1","","16.5","","2012-10-07 00:00:00.000","","[Discoverer=Dimai; DiscoveryRef=CBET 3278; PositionRef=CBET 3278; Orig Type=IIP]","","","","",""
"6036","SN 2012fj","16:15:44.861","+31:57:47.70","SN IIP","","NGC 6103        ","","","","","","","","","0","1","","16.5","","2012-09-19 00:00:00.000","","[Discoverer=Arbour; DiscoveryRef=CBET 3266; PositionRef=CBET 3266; Orig Type=IIP]","","","","",""
"6035","SN 2012fi","05:21:25.930","-16:52:55.88","SN IIP","","Anon.           ","","","","","","","","","0","1","","18","","2012-10-10 00:00:00.000","","[Discoverer=Howerton, Drake et al. (Catalina Sky Survey); DiscoveryRef=CBET 3265; PositionRef=CBET 3265; Orig Type=IIP]","","","","",""
"6033","SN 2012fg","09:24:37.951","+49:21:32.00","SN IIP","","NGC 2857        ","","","","","","","","","0","1","","14.5","","2012-10-07 00:00:00.000","","[Discoverer=Shumkov (MASTER); DiscoveryRef=CBET 3253; PositionRef=CBET 3253; Orig Type=IIP]","","","","",""
"6029","SN 2012fc","23:10:12.710","+30:34:42.60","SN IIP","","Anon.           ","","","","","","","","","0","1","","17.2","","2012-09-20 00:00:00.000","","[Discoverer=Drake et al. (Catalina Sky Survey); DiscoveryRef=CBET 3240; PositionRef=CBET 3240; Orig Type=IIP]","","","","",""
"6022","SN 2012ew","02:45:28.411","-62:07:21.40","SN IIP","","Anon.           ","","","","","","","","","0","1","","18.5","","2012-09-12 00:00:00.000","","[Discoverer=Parker; DiscoveryRef=CBET 3233; PositionRef=CBET 3233; Orig Type=IIp]","","","","",""
"6007","SN 2012eh","01:27:31.450","+14:49:05.81","SN IIP","","IC 1706         ","","","","","","","","","0","1","","18.4","","2012-08-20 00:00:00.000","","[Discoverer=Ciabattari, Mazzoni; DiscoveryRef=CBET 3208; PositionRef=CBET 3208; Orig Type=IIP]","","","","",""
