oid,tp,slope_at_tp,L50,M_Ni,E_exp,nobs,tobs
ZTF24aagupsf,69.89484949992038,-5.902638577625441e+40,1.562606021461035e+42,0.09108212930433796,2.3685485002416214e+50,25,81.93773139966652
ZTF24aagiwoi,68.77040505013429,-1.4564474897579228e+43,1.3740634645599649e+42,0.10944119914491858,1.6499647352483146e+50,23,70.8299074000679
ZTF24aaerzgo,83.88372099981643,-4.2761294628935175e+39,2.5140446488169127e+41,0.02422087806453721,9.927457834814778e+48,10,86.91850689984858
ZTF24aadecbb,112.77405674988404,-1.6335493920144673e+41,1.4620456271016925e+42,0.1259730649248768,5.098327840536547e+50,14,113.73114589974284
ZTF24aaaieeg,67.0391840999946,-1.3330644890399794e+40,1.037959257429428e+42,0.10790197272065094,8.597267200234365e+49,15,109.96375000011176
ZTF23abqkppm,107.33756369980983,-1.0380713432994646e+40,3.433203654600715e+41,0.0633404324231573,2.480355073678413e+49,23,115.83177089970559
ZTF23abpydvb,64.94734955020249,-1.280006852442986e+41,6.776742272524887e+41,0.12817557668115195,3.0684109149675105e+49,20,111.78736109985039
ZTF23abkdzxh,60.42192705022171,3.5255805201183516e+38,1.0987980704146116e+42,0.13018088541957404,7.418160955826316e+49,24,61.98883100040257
ZTF23abccimv,61.904201349942014,-2.3973929280224877e+40,9.351485996355753e+41,0.08602003743711323,6.197984335743218e+49,25,93.85708329966292
ZTF23abbtkrv,60.005491900024936,6.325935634184064e+42,1.4053439108653998e+42,0.18723194283532452,1.1203869897847227e+50,19,61.99719909997657
ZTF23abaeenk,131.80126159987412,1.0441488261264257e+40,1.4988023920759282e+42,0.8221755147732468,4.406164097247634e+50,30,159.7707408000715
ZTF23abbccir,62.36433454975486,-5.4194982543280795e+39,6.682403033808389e+41,0.07122136753269372,3.224306116818427e+49,26,90.88949079997838
ZTF23aazltms,61.98032405017875,-1.2018701069345433e+40,8.347599928517217e+41,0.06449071396015392,5.277860984661323e+49,10,64.00245370017365
ZTF23aaxtmrr,86.93112265039235,-1.503119639845407e+44,-1.7498916948637653e+42,0.22816889254259473,,68,123.77534720022231
ZTF23aaxchnm,125.72816550009884,-1.7849638470099265e+42,7.576048824376144e+41,0.34563936209789325,1.1752820049091062e+50,42,183.71302089979872
ZTF23aavvdix,73.95693869981915,-1.7197675185585855e+43,5.782530633285267e+41,0.06822055259249912,3.4163944604527025e+49,51,80.01798609970137
ZTF23aaquhaz,84.7720197502058,-3.25893131197079e+39,7.745610584591689e+40,0.0026988217118591824,1.4960248995546865e+48,38,100.80084490031004
ZTF23aanexof,76.96560760005377,-5.193512562117174e+39,1.3893069349250725e+42,0.19676335878888943,1.8141473633683111e+50,18,82.96648140018806
