oid,tp,slope_at_tp,L50,M_Ni,E_exp,nobs,tobs
ZTF18aawgrxz,60.90123844984919,-1.9063561253046904e+40,8.481872373065478e+41,0.09466221012329051,4.728506712192935e+49,21,88.88131950004026
ZTF21aaxxoei,63.47471065004356,-2.620006112492444e+43,1.614330837881164e+42,0.19818525001370182,1.6704217505348282e+50,54,89.92712960019708
ZTF21aaukcog,61.99241319997236,2.889183478381035e+42,2.266361609674405e+42,2.0312195781273017,1.717335312765075e+50,21,62.92103009996936
ZTF21aapjphz,81.79907989990897,-5.318384252591066e+39,8.710474871377239e+41,-2.0765524207668493,,18,433.81170139973983
ZTF21aanzcuj,99.94994214992039,-2.4857361555061568e+40,1.0205580312034761e+42,0.13740507627636644,1.7860265804213234e+50,33,100.8898843000643
ZTF21aanwmxn,70.98114009993151,1.4542623979096305e+40,2.779330311022848e+42,1.3870494525984,3.931313510938818e+50,23,85.91489590005949
ZTF21aantsla,60.04179979977198,-1.6981754678781676e+43,6.990216983141594e+41,0.08225153215876406,3.1511734084900965e+49,69,103.98605330009013
ZTF21aamzuxi,77.9742940000724,-7.667199888233033e+40,2.2507704660293917e+42,0.20813758196254548,5.1729678298563955e+50,26,79.00162040023133
ZTF21aamwqim,60.30825234996155,-1.3951662992421452e+40,4.162831455676104e+41,0.04110662071172222,1.2685853006498936e+49,7,65.7751042000018
ZTF21aalodzw,69.90541660017334,-2.447312606583719e+41,5.065498629102887e+42,0.5442361336437979,1.7963053679471566e+51,15,82.94079860020429
ZTF21aaiaqhh,62.77552084997296,-6.291279313626865e+40,-8.014575425286205e+45,0.07419355660491021,,27,91.80855319974944
ZTF21aagywrb,119.82638314994983,-7.770982313529002e+40,4.834387703465158e+41,0.13156481831309205,5.307127611605109e+49,23,120.84452549973503
ZTF21aagtqna,118.83132524997927,-1.28890666645992e+41,1.0625893766463486e+42,0.09638074626121282,3.0888466372319777e+50,30,119.85451389988884
ZTF21aagtekf,60.38053814973682,4.1134644469123995e+41,2.864432801481584e+42,0.8093660702129714,3.4777149371740097e+50,34,68.78965270007029
ZTF21aadoizf,60.923975749872625,-1.0181534671755214e+39,1.3124137660557794e+41,0.03210180215276569,1.1635364583326253e+48,26,97.84047459997237
ZTF21aabjesm,98.42766779987141,-1.0808423863876181e+40,1.398443123600866e+42,0.18156431687329316,3.1472015862026244e+50,26,100.89905089978129
ZTF20adaduxg,60.4086226997897,3.382904846781236e+42,1.2645805621542244e+42,0.135630625950788,9.912855668327767e+49,38,75.88993059983477
ZTF20adadlqv,60.49001735006459,5.838307603436373e+42,5.466125579387561e+41,0.08970150052388008,1.841842580635147e+49,41,65.9569907002151
ZTF20acxtgek,91.83228005026467,-1.212019507491088e+40,7.158062581713512e+41,0.04761627996198213,9.39620531948619e+49,19,128.8106944002211
ZTF20acvjlev,78.3296238000039,-1.4537488714304684e+42,1.9432120234874134e+42,0.14503815131129894,4.214302303507757e+50,59,118.86614579986781
ZTF20acveadu,62.84292245004326,-1.3397046111763672e+40,5.641425434140537e+41,0.0639836821952873,2.3465939507235143e+49,21,89.79601849988103
ZTF20acvezdt,110.76062500011176,-3.669560909791941e+40,2.6167596080780146e+42,0.18436946222055206,1.5408971472135077e+51,30,117.73129629995674
ZTF20acufmte,81.91677084984258,-1.0530426605488422e+41,2.1552381016548543e+42,0.1776523971614274,5.461733248593452e+50,21,82.92563659977168
ZTF20actnzxm,72.90366894984618,1.2760352996219514e+40,9.070460427234761e+41,0.12175164750134339,7.414191760778625e+49,19,92.87356479978189
ZTF20actnzzk,74.873107599793,-2.5150731593679453e+40,1.1562953368182339e+42,0.137391578959289,1.2766100695895894e+50,17,90.91015039989725
ZTF20actkutp,114.78877315018326,-3.760333978951134e+40,7.61064008130417e+41,0.12084062053182568,1.316808900178569e+50,24,115.77880790038034
ZTF20actkmks,78.82609955011867,-5.378772458061601e+40,1.8112065076355577e+42,0.16868703365825402,3.5194060103176666e+50,23,91.7349769002758
